stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,192.06,0,0,0,4.09,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,1.07,21.4,0,0,23.54,1.07,0,0,0,0,0
21Day,0,0,0,1.34,2.68,0,0,0,1.34,18.74,0,1.34,52.2,1.34,0,13.39,2.68,0,2.68,2.68,0,0
3Month,0,0.32,1.6,0,0,1.6,0,2.24,1.28,2.56,2.24,0.32,112.62,0.96,0.32,0,0,0.32,0,0.64,0.32,2.88
22Month,0,0,0.55,0,0,0,0.55,1.09,0.55,0.55,0.55,0.55,32.25,0.55,0,0,0,0,0,1.09,0,0.55
