stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
21Day,1.34,2.68,0,1.34,2.68,4.02,0,0,0,1.34
3Month,0.64,0,0,0,0,0.64,0.32,0.32,0.32,5.12
22Month,0,0,1.64,0,0,1.09,0,0,0,1.64
