stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,29.95,2.14,0,0,0,0,0,0,0,0,264.24,1.07,1.07,0,0,4.28,9.63,0,7.49,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,58.9,1.34,0,0,0,0,0,1.34,0,0,116.45,0,2.68,0,1.34,2.68,1.34,2.68,2.68,2.68,0,2.68,0,0,0,0
3Month,0,0,0.32,9.28,0,0.64,0.96,1.28,26.24,2.24,0.32,3.84,0.32,43.51,1.6,10.88,0.32,1.28,0,0,0,0,3.2,5.76,0.32,0,0.64,2.24,0.64
22Month,0,1.09,0,2.19,0,0,0.55,2.73,24.6,1.64,0.55,1.64,0.55,1.64,0.55,0.55,0,0.55,0,0,0,0,0,2.19,1.09,0.55,0,0,0.55
