stage,Endothelial_cell,Hepatocyte,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0
3Month,0,0.64,0.32,0,0.32,1.28,0.32
