stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,5.35,1.07,1.07,0,0,0,0,0,0,22.47,0,5.35,1.07,159.4,11.77,4.28,2.14,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,1.34,0,0,4.02,0,5.35,0,46.85,6.69,0,0,5.35,1.34,1.34,0,1.34,1.34,1.34
3Month,0,0.32,0.32,0,0,0,0,0.96,0,0,0.32,0,0.32,0,0,0,0,1.28,0,0,0.64,0,0,0,0,0
22Month,0,0,0.55,0,1.64,0.55,0,16.95,0,2.19,0,0,0.55,1.09,0,0,0,2.73,0,0,0.55,0.55,0,0,0,0
