stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,4.28,4.28,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,5.35,1.34,5.35,1.34,0,0,0,0,0,0,1.34,0,0,5.35,0,2.68,0,0,0,2.68,0,0,0,0,4.02,0,5.35,0,0,0,0,0
3Month,0.32,2.88,0.96,11.52,0,0.32,1.28,8.32,0,95.02,10.24,0.64,7.68,0.32,1.92,1.28,1.28,0.32,0.64,2.24,0,0,1.6,0.96,0,4.8,0.32,347.14,0.96,0.32,3.2,162.85,5.44
22Month,0,1.64,0,2.73,0,0,0,12.03,2.19,96.76,2.73,0,5.47,0,0.55,3.83,1.64,2.19,1.09,0,0,0,0,0.55,0,1.09,0,24.05,0.55,0,0.55,1.64,1.64
