stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,0,1.07,0,0,0,0,0,0,0,0,0,3.21,40.65,0,2.14,1.07,0,0,28.88,5.35,0,0,2.14,0,0,0,0,0,0,0,0
21Day,4.02,0,0,66.93,2.68,5.35,0,2.68,0,0,0,0,0,4.02,0,5.35,32.12,0,8.03,0,0,0,99.05,5.35,1.34,1.34,12.05,2.68,0,4.02,2.68,4.02,0,0,0
3Month,0,0,0.64,15.68,0,0,0,0,3.52,0.64,0,1.6,0.96,0.96,8.96,0,0.64,0.64,0.64,0,0,0.32,0,0,0.32,0,0.64,26.24,0,0,0,0,0.64,2.24,0.96
22Month,0,0.55,14.76,51.39,0,0,1.09,0,23.51,1.64,13.67,42.64,1.64,0,135.02,0.55,2.73,2.73,2.73,1.09,12.57,0,2.73,0,5.47,0,0.55,26.79,1.09,0.55,0,0,0,0,0
