stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,4.02,0,0,0,0
3Month,0.32,0.32,1.6,17.6,0,0.32,0.32,3.52,4.48,20.16,6.08,0.32,11.2,3.84,6.08,5.44,3.52,0.32,0.64,3.52,0.64,0.32,0.64,2.24,0.32,0,0.64,4.48,142.7,1.6,2.88,791.55,4.16
22Month,0,0.55,0,0,0,0,0,0.55,0,2.73,0,0,3.28,0,0,2.19,0.55,0,1.09,0,0,0.55,0,0.55,0.55,6.01,0.55,1.64,179.85,0,0,6.56,0
