stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,1.07,0,55.63,2.14,1.07,2.14,0,0
21Day,4.02,0,0,1.34,0,1.34,0,25.43,0,1.34,0,1.34,0
3Month,1.28,0.32,2.88,0.64,0,0.32,0.32,0,0,0,0,0,0.32
22Month,0.55,0.55,4.37,0,0.55,0.55,0,0,0,0.55,0,0,0
