stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,2.14,0,0,0,26.74,1.07,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,10.71,0,0,1.34,0
3Month,0,0,0,0,0,0.32,0.32,0,0,0,0.64,0,0,0,0,0,0.32
22Month,0,1.64,1.64,0,0.55,15.31,0,1.64,0.55,0.55,0,0.55,0,0,0,0,0
