stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,298.31,4.09,0,77.64,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,20.43,0,0,0,4.09,114.42,0,0,0,0,0,0,0,0,0,0,0
72hpf,953.18,4.28,0,26.74,1.07,8.56,0,0,0,0,0,0,1.07,0,6.42,50.28,2.14,26.74,0,1.07,0,106.98,66.33,0,0,33.16,0,0,14.98,0,2.14,0,0,0
21Day,282.43,0,1.34,49.53,0,6.69,0,0,1.34,0,2.68,0,2.68,0,1.34,28.11,0,33.46,0,0,1.34,37.48,26.77,0,1.34,12.05,2.68,0,2.68,2.68,4.02,0,0,0
3Month,1.92,0.64,0,8,0,0,0,0.96,2.24,0,7.68,1.6,0,0.96,0,3.2,1.6,1.6,0.32,0.32,0,0,0.32,0,0,0,0.32,0.96,0.32,0,0,0.96,0.96,0.96
22Month,2.73,2.19,0,6.01,0.55,0,2.19,0,2.19,7.11,94.02,0.55,0,6.01,0.55,2.19,4.92,4.92,0.55,2.19,1.64,0,0,0.55,0,1.09,0,1.09,2.19,0,0,0,0,1.09
