stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,8.17,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,5.35,1.07,3.21,0,1.07,0,1.07,0,0,0,2.14,0,2.14,17.12,0,11.77,0,0,0,0,713.55,49.21,0,1.07,11.77,0,0,7.49,0,1.07,0,0,0
21Day,6.69,0,0,21.42,1.34,20.08,0,2.68,0,1.34,0,1.34,0,0,4.02,1.34,12.05,4.02,18.74,0,0,2.68,0,550.14,28.11,0,2.68,4.02,17.4,5.35,8.03,0,1.34,0,0,0
3Month,0,0,0,5.76,0,0,0,0,1.6,0.96,0,16,1.92,0,9.6,0.32,2.24,0.32,5.44,0.32,0,0,2.24,1.92,0,0.32,0.64,0,0,16.64,0,0,0,0.32,3.2,0.64
22Month,0,1.09,0.55,5.47,0,0,0.55,0.55,0.55,3.83,0,61.77,1.64,1.09,14.21,0,0,2.19,2.73,0.55,1.64,0,0,6.56,0,1.64,1.64,0,0,15.31,0.55,0.55,0,0,0,0.55
