stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,38.82,0,0,0,0,1.34,0,0,4.02,13.39,4.02,1.34,0,1.34,0,0
3Month,13.44,0.32,0.32,1.6,0.64,0,0.32,0.96,0,0.32,0.32,0.32,0.32,0,0.32,0.32
22Month,5.47,0,0.55,4.92,0,0,0,0,0,0,0,0,0,0,0,0
