stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,2.14,0,0,1.07,0,0,0,0,0,0,0,0,5.35,0,14.98,0,0,435.4,36.37,5.35,5.35,6.42,0,0,7.49,0,0,0,0,0,0
21Day,2.68,0,0,2.68,4.02,6.69,0,0,0,1.34,0,0,0,1.34,2.68,1.34,2.68,1.34,93.7,0,0,242.27,20.08,1.34,18.74,8.03,5.35,0,18.74,0,2.68,1.34,0,0,2.68
3Month,0,0.64,0,1.92,0.96,0,0.32,0,0.32,0.32,0,4.16,1.28,0.32,1.6,0.32,5.44,1.28,33.91,0.64,0.32,2.56,0.32,4.48,1.92,0,0,2.24,5.12,0,0,0.32,0.32,1.28,5.76
22Month,0,0.55,0.55,1.09,0.55,0,0.55,0,0.55,0.55,1.09,13.12,1.09,0.55,2.73,0.55,1.64,3.28,10.39,0.55,0,0.55,0.55,3.83,0.55,0,0,0.55,12.03,1.09,0,0.55,0,0,2.19
