stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,0,2.14,1.07,2.14,0,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,4.02,1.34,0,1.34,0,0,0
3Month,0.32,2.88,0,0,0,0.64,6.72,1.28,0.32,1.92,0.32,0.96,0.32,1.6,0,0.32,0,0,0.32,0.64,2.88,1.92
22Month,0.55,0,0,0,0.55,0,4.37,0,0,1.64,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0
