stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,4.09,24.52,0,0,12.26,4.09,0,134.85,0,0
72hpf,0,0,0,0,0,0,1.07,0,1.07,0
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0.32,0,0,0,0,0,0,0.32
