stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,65.38,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,4.28,2.14,2.14,0,0,0,0,0,0,0,0,1.07,7.49,0,5.35,0,0,0,51.35,8.56,1.07,2.14,8.56,0,4.28,0,0,3.21,0,0,0
21Day,6.69,1.34,1.34,1.34,1.34,0,0,0,0,0,0,1.34,1.34,0,0,1.34,21.42,0,2.68,0,20.08,4.02,1.34,1.34,16.06,0,4.02,2.68,1.34,5.35,0,0,2.68
3Month,0,2.24,1.92,1.28,0,0.32,0,0.32,0.64,0,22.08,0.64,1.6,0.32,0.96,0.96,9.6,3.84,0,1.92,0.64,0.64,1.28,0.32,0.32,7.36,0.64,0,0,0,0.64,6.4,3.2
22Month,0.55,2.73,0,0,0,0.55,0.55,0,1.09,0.55,28.97,0,0.55,0.55,0.55,1.09,4.37,0,0,0,0.55,0,0,0.55,0.55,2.19,0.55,0,0,0,0,0,0.55
