stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,5.35,1.07,0,1.07,0,0,1.07,0,0,0
21Day,2.68,1.34,4.02,1.34,0,0,0,0,0,0,0,1.34,0,2.68,6.69,1.34,2.68,0,0,0,2.68,2.68,0,4.02,1.34,0,0,0,0,0
3Month,0,0,3.2,0,0,0.32,0.96,0.64,0,19.2,0.32,0.32,7.68,0.64,0.64,0.64,0.32,0.32,0.32,0.32,0,0,0.32,0,0.64,0.96,0,0,0.32,0.96
22Month,0.55,1.09,18.04,0,0.55,0.55,2.73,25.69,0.55,48.11,2.19,4.92,11.48,2.19,1.64,17.49,2.19,2.73,0.55,0,0,0,1.09,0,0.55,0,0,0.55,0.55,7.65
