stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,1.34,0,2.68,2.68,36.14,8.03,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0.32,8.32,0,0.32,0.32,0,1.6,0,1.6,0.32,0.96,0.64,0.32,0.32,0.96,0.32,0,0.32,0.32,0,0.32
22Month,0.55,0.55,0.55,7.11,0.55,0.55,0.55,0.55,13.67,0.55,4.92,0,0.55,1.09,1.64,0,0,0,0,0,0,1.09,0.55
