stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,8.17,0,0,0,0,8.17,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,4.28,0,7.49,0,0,0,0,0,0,0,0,1.07,0,6.42,7.49,0,12.84,0,3.21,2.14,0,2.14,9.63,0,0,4.28,0,0,0,0,0,0,0
21Day,2.68,1.34,0,9.37,0,9.37,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,5.35,0,0,0,0,2.68,0,0,0,1.34,4.02,0,0,1.34,0,0,1.34
3Month,0.32,0.32,0,23.68,0.32,0,0.32,0.32,2.88,3.52,0,0,67.19,3.2,0.32,14.72,1.6,8,3.52,11.52,1.28,0,0.64,5.12,0.32,0,0.32,0,0,0.96,9.92,0,0,0.96,20.8,1.92
22Month,0,2.73,2.19,9.29,0,0,0,0.55,2.73,9.29,1.64,0,218.66,4.37,8.2,25.15,0.55,1.09,15.85,9.29,1.09,1.64,0.55,0,0,0,2.73,0.55,0,0,2.73,1.09,0,0,0,1.64
