stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,8.56,5.35,2.14,0,0,2.14,1.07,0,0,0
21Day,2.68,0,1.34,0,2.68,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,4.02,2.68,0,0,0,1.34,0,0,0,0
3Month,0,0.32,11.84,0.32,0,0.64,0,1.6,2.24,0,7.68,0.96,0.64,6.72,2.24,4.48,0.64,4.48,3.84,0.32,0,0,0.64,1.28,0.32,0.32,1.92,1.6,1.92
22Month,0,0,0,0,0,0,0,0.55,0,0,3.83,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
