stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,41.72,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,2.68,0,6.69,0,0,0,0,1.34,1.34,1.34,1.34,1.34,0,0,0,0,0,88.34,0,1.34,0,1.34,0,1.34,0,0,0,2.68
3Month,0,0.64,3.52,0,0,0.32,0,1.92,0,3.2,0.96,0.96,0,0.32,1.6,0.64,0,0,0.32,0.64,0,0,0.32,0.96,55.03,0,0,0.32,45.11,0.32
22Month,0.55,0.55,2.19,0.55,0,0,0.55,3.28,0.55,32.25,0,3.28,0,0,1.09,4.92,0.55,0.55,0,0,0,0,0,0,9.84,0,0,0,0,1.64
