stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,9.37,0,4.02,17.4,1.34,0,5.35,0,0,2.68,0,0,2.68,8.03,2.68,6.69,18.74,42.83,13.39,0,0,0,0,6.69,0,1.34,0,5.35,4.02,0,0,1.34,1.34,1.34,0,0,5.35
3Month,0.32,4.8,6.08,47.99,0,2.24,0.32,0.32,32.95,8.32,0,63.67,18.24,0,297.55,4.16,10.56,76.15,19.84,2.88,0,5.12,4.8,1.92,3.2,0,0,0,2.88,3.52,0.32,0.32,0,0.64,5.44,2.56,8.32
22Month,0.55,25.69,9.84,57.95,0,2.73,2.73,0,18.59,25.15,3.83,208.28,8.75,9.29,332.91,2.19,10.39,122.45,90.2,2.19,4.92,6.56,1.09,0.55,1.64,1.09,0.55,0,3.83,19.68,0.55,0,0,0,6.56,0,6.56
