stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,4.28,0,0,0,2.14,0,0,0,0,0,16.05,5.35,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,9.37,9.37,0,2.68,0,5.35,0,0,0,1.34,49.53,1.34,0,0,13.39,5.35,0,0,0,0,44.17,5.35,0,0,0,4.02,5.35,0,0,0,1.34,2.68,0,0,0,42.83
3Month,2.56,0.32,14.08,0,0.64,0.64,1.28,76.47,0,0,21.44,76.79,12.16,5.44,1.28,3.84,42.23,4.48,0.32,0.64,2.56,1.92,1.28,0.64,3.2,0.64,0,0.64,3.52,0.96,24,0.64,0.64,0,0.32,1.6,141.42,98.54
22Month,3.83,1.09,5.47,0,3.28,1.09,0,88.01,3.28,0,47.01,38.27,14.21,6.01,0,1.09,26.24,5.47,0,0.55,2.19,0,0.55,0,1.09,0.55,4.37,0,1.64,0,3.83,0.55,1.64,0,0,1.64,0.55,31.71
