stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,32.69,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,1.07,4.28,2.14,0,0,0,0,0,0,0,0,1.07,0,94.14,0,0,0,27.81,16.05,0,0,0,9.63,0,0,0,1.07,0,0,0,0
21Day,1.34,2.68,1.34,44.17,8.03,5.35,0,0,0,9.37,1.34,1.34,0,0,12.05,0,258.34,0,4.02,0,49.53,33.46,1.34,1.34,0,12.05,1.34,0,2.68,1.34,17.4,0,0,0
3Month,0,0.32,0,1.28,0,0,0,0.32,0,1.28,0.32,0,0.32,0.32,0.96,0,25.28,0,0,0,0,0,0,0,0,0,0,0.32,0,0.32,0,0.96,0.32,0.96
22Month,0,2.19,0.55,3.83,0,0,0.55,1.09,0.55,19.13,0.55,0,4.92,0,1.09,0.55,15.85,0.55,0,1.09,3.28,0,0.55,0,0.55,0,0,12.03,0,0,0,0,0,0
