stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,0,0,1.07,1.07,1.07,3.21,7.49,2.14,0,2.14,0,0,0,0
21Day,4.02,0,4.02,2.68,2.68,0,0,0,5.35,0,0,2.68,1.34,1.34,6.69,1.34,1.34,0,1.34,1.34,1.34,2.68
3Month,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
