stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,0.32,0,0,0.32,0,0.32,0,0.32
22Month,0.55,0,1.09,0,1.09,0,0,0,0,0
