stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,2.14,3.21,0,0,0,0,0,0,0,1.07,10.7,5.35,1.07,0,0,1.07,1.07,0,4.28,0,0,0,0,0
21Day,13.39,1.34,0,22.76,2.68,34.8,2.68,0,1.34,1.34,0,0,0,0,2.68,1.34,21.42,0,1.34,4.02,4.02,0,9.37,1.34,2.68,1.34,0,0
3Month,0,0.96,0.32,11.84,0,0,0,0.96,0.96,1.6,13.76,0,1.28,0,6.4,16.96,3.84,0.64,0.64,0,0,0.32,0.32,0,12.8,0.32,0.64,3.84
22Month,0,1.09,1.09,5.47,0,0,0,0.55,2.19,3.28,0.55,0.55,0,0,1.64,13.67,0.55,0,0,0.55,0,0,0,0,2.19,0,0,0
