stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,1.07,0,0,0,0,3.21,0,2.14,0,72.75,8.56,1.07,0,1.07,0,0,3.21,0,0
21Day,2.68,0,1.34,0,1.34,0,1.34,0,1.34,1.34,1.34,0,0,0,38.82,1.34,0,0,2.68,0,0,1.34,5.35,0
3Month,0,0.32,0.32,0,0,0.32,2.56,0.64,0,0.32,0,0,0.32,0.32,0.32,0,0,0.32,0,0,0.32,0,0,0
22Month,0.55,0,1.09,0,0,0.55,8.75,0,0,0,0,0.55,0.55,0,1.09,0,0.55,0,0,0.55,0,0,0,0.55
