stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,5.35,0,2.14,1.07,0,2.14,0,0,0
21Day,1.34,8.03,0,0,0,1.34,0,0,2.68,0,1.34,0,4.02,0,0,1.34,0
3Month,0,14.4,0.32,0.96,0.32,0,0.64,0.64,0.96,0.64,0,0,0,0.32,0.64,0,0
22Month,0,4.37,0,1.64,0,0,0.55,0,0,0.55,0,0.55,0,0,12.57,0,0.55
