stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,4.09,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,4.09,89.9,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,3.21,0,0,0,0,0,1.07,0,2.14,7.49,0,5.35,0,1.07,1.07,23.54,33.16,0,2.14,0,0,1.07,0,0,0,0
21Day,2.68,1.34,13.39,0,5.35,0,6.69,0,0,0,6.69,0,0,1.34,1.34,16.06,0,0,0,13.39,9.37,0,5.35,2.68,1.34,0,1.34,0,0,0
3Month,0,0,3.2,0,0,0.32,0,0.96,5.44,0.96,0.32,2.56,0,1.28,1.6,1.28,0.32,0,0.32,0,0,0.32,0.32,0.32,3.52,0,0,0.64,18.24,1.6
22Month,0,0,0,0,0,0,0,0.55,1.64,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
