stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,5.35,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,43.86,37.44,0,0,4.28,0,0,0,0,0,0
21Day,0,0,0,1.34,6.69,0,1.34,0,0,0,0,1.34,1.34,0,1.34,0,8.03,0,0,17.4,4.02,0,0,1.34,0,2.68,1.34,0,0,0
3Month,0,0,0.96,30.08,1.92,0.32,0,0.64,1.6,10.56,2.88,0.32,4.16,1.6,1.6,2.24,3.52,0.64,1.6,0.32,0,0.32,0.64,0,0.64,13.76,0,0.32,372.1,0.64
22Month,0,0,0,11.48,1.09,0,0,0.55,0.55,15.31,0.55,0,1.09,0.55,0,1.64,1.64,0,0,0,0.55,1.64,0,0.55,0.55,12.57,0,0,3.83,0.55
