stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,12.26,0,53.12,8.17,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,81.73,0,0,0,204.32,89.9,0,0,0,16.35,0,0,0,0,20.43,0,0,0
72hpf,20.33,3.21,0,65.26,5.35,5.35,0,0,0,0,0,0,0,0,0,6.42,22.47,0,29.95,0,3.21,1.07,82.37,20.33,0,1.07,0,26.74,1.07,2.14,155.12,0,29.95,0,0,0
21Day,5.35,0,4.02,18.74,2.68,6.69,0,0,0,0,0,1.34,0,1.34,0,1.34,4.02,2.68,57.56,0,9.37,0,37.48,20.08,0,0,0,21.42,2.68,1.34,81.65,1.34,10.71,0,0,0
3Month,0,0.32,0.96,10.88,0.64,0,0,0.32,0.96,2.56,0,5.44,1.28,0,1.6,3.52,7.04,1.28,46.07,28.8,1.28,0.64,4.16,2.24,0.64,0,0,0.96,0.64,19.52,5.76,0,1.6,2.56,1.28,0.32
22Month,0.55,1.09,0.55,3.83,0.55,0,0.55,0,0.55,2.19,0.55,16.95,0,0.55,1.64,2.19,0.55,2.73,39.91,4.92,1.09,0,3.28,1.09,0,0,5.47,0,0,36.63,9.84,0.55,2.19,0,0,1.09
