stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,1.07,2.14,0,0,0,0,0,0,0,3.21,1.07,1.07,0,195.77,4.28,0,0,0,4.28,0,0,0,18.19,20.33,1.07,0,0,0
21Day,8.03,1.34,8.03,6.69,0,0,1.34,2.68,0,2.68,2.68,5.35,1.34,0,0,187.39,1.34,0,0,0,2.68,8.03,0,2.68,38.82,132.51,0,0,0,1.34
3Month,0,0,1.6,0,0.32,0,1.92,0,0.64,0,0,1.6,0,0,0.32,6.4,0,0.96,2.56,0,0,0.32,1.92,0,0.32,0,0,0.32,10.56,0.64
22Month,0,1.09,2.73,0,1.64,0.55,20.23,0,1.64,0,0.55,0.55,0.55,0.55,0,10.93,0,1.09,0,0.55,0,0,6.56,0.55,27.88,0,0,0,0,0
