stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,8.56,0,0,5.35,2.14,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,1.34,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0.32,0.64,0.32,4.8,1.28,0.32,0,0,0.32,0,2.56,0,0,0.32,1.92,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,1.09,0.55,0,0,0,0
