stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,24.52,8.17,20.43,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,2.14,0,0,2.14,0,0,4.28,0,0,0,0,0
21Day,6.69,1.34,1.34,0,0,0,0,2.68,1.34,1.34,0,0,1.34,1.34,1.34,1.34,0,0,1.34
3Month,1.92,0,0,0.64,0.32,0.96,0.96,0,2.56,0.32,1.28,0,0.32,0,0,0,0.64,0.64,1.92
22Month,1.09,0,0,1.09,0.55,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0.55,0
