stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0,5.35,0,0,0,1.07,0,0
21Day,1.34,1.34,4.02,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,1.92,0,0.32,0.32,5.76,1.28,0,3.52,0.32,0,0.64,0.32,0.32,0.32,0.32,0,0,8.96,0,0.32,0.96
22Month,0,0,0,0,1.09,8.75,0,0,2.19,0,0,2.73,1.09,1.64,0,0,3.83,0,13.67,0,0,0
