stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,0.64,0,11.2,0.32,0.64,8.32,0,7.68,6.4
22Month,1.09,0,0.55,0,0,0,0,0,0,0
