stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0.32,0.64,0,0.96,0.32,0.32,0,0.64,0,0,0.32
22Month,0,0.55,0,0,0.55,2.73,0,0,0,0,0.55,0,0
