stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,2.14,0,0,0,1.07,0,3.21,0,0,0,0,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,1.34,33.46,0,0,0,0,2.68,0
3Month,0.32,1.6,1.92,30.72,0,1.92,0.32,0.32,6.08,8,0.32,0,43.19,9.6,1.92,14.72,4.8,9.28,8.96,9.28,0.64,3.84,5.76,2.88,0,4.48,3.2,0,0.96,18.88,1850.59,3.52,0.64,0.96,6.72,963.69,7.04
22Month,0,0.55,0,1.64,0,0.55,0,0,0,1.09,0,0,20.23,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0.55,0.55,0.55,8.75,0,0.55,275.51,0,0,0,0,1.64,0.55
