stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,649.74,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,21.4,0,0,0,1.07,0,0,4.28,439.68,0,0,0,0,0,4.28,4.28,0,1.07,2.14,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,2.68,0,0,0,25.43,0,2.68,1.34,5.35,1.34,1.34,1.34,460.46,8.03,0,0,0,0,2.68,2.68,0,1.34,1.34,12.05,0,0,4.02,0,0,0
3Month,0.64,3.2,0,10.24,0.32,0,1.6,0.64,1.6,226.52,0,11.2,12.8,0,5.76,0,2.24,706.45,4.8,0.64,0.32,0.96,2.56,0.64,0,0.64,0.64,0.32,2.24,2.88,0,0,1.6,2.88,4.16
22Month,0,1.09,0.55,6.01,0,0,2.19,0,0,162.36,594.76,24.05,6.56,1.09,2.19,0,1.09,473.4,2.19,0,1.09,0,0,0,0,0,1.64,0,0.55,0.55,0.55,0,0,0,2.19
