stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,8.03,2.68,0,0,0,29.45,0,0,0,2.68,0,2.68,2.68,0,2.68,1.34,2.68,0,0,0,0,4.02,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.64,2.24,10.56,108.14,0,5.44,0,0.64,1161.42,16,0,0,208.29,20.48,0.96,825.15,6.08,16,38.07,17.6,4.8,0,164.77,4.48,3.2,0.32,6.08,1.28,0,0.96,8.96,0.32,15.04,0,0.32,0.64,5.44,13.76,11.52
22Month,8.75,6.01,32.25,113.16,0,7.11,1.64,0,594.76,24.6,6.01,0,1431.14,5.47,1.09,1925.86,1.09,0.55,20.23,24.6,1.09,27.88,204.45,0.55,0.55,5.47,9.29,4.37,0.55,0,6.56,0,12.03,4.37,0,0,0.55,0,10.93
