stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,24.52,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,2.68,1.34,0,4.02,0,1.34,0,1.34
3Month,0,0,3.52,0,0,0,0,0.32,0.96,0.32,0,0.32,0.64
22Month,0.55,0.55,6.56,0.55,4.92,0.55,0.55,0.55,2.19,1.09,0,0,1.09
