stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,1.28,0,0.96,3.2,0.32,1.92,0.32,0.32,0.32,0.64,0.64,0,5.12,6.08,0.32
22Month,1.64,0.55,0.55,9.84,0,4.37,0,0,0,0.55,0,0.55,0,0,0
