stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,277.88,4.09,0,20.43,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,8.17,8.17,907.18,0,0,0,12.26,1405.72,4.09,0,0,89.9,0,0,0,0,0,0,0,0
72hpf,56.7,21.4,0,3.21,2.14,5.35,0,5.35,0,0,0,0,0,0,44.93,0,1.07,3.21,2.14,371.22,0,0,3.21,81.3,43.86,0,0,0,389.4,0,0,2.14,0,0,2.14,0,0
21Day,235.58,2.68,0,8.03,0,6.69,0,0,0,0,0,0,0,0,28.11,6.69,0,5.35,4.02,219.52,0,0,2.68,18.74,6.69,0,1.34,0,24.09,8.03,0,1.34,1.34,1.34,4.02,0,2.68
3Month,3.84,66.87,0,4.16,0,0,0.32,0,0.32,0.32,0.96,0,4.16,1.92,1.6,1.6,0.64,0.96,1.28,9.6,1.28,0,12.8,1.6,0.32,0.64,0.96,0,0.32,0.64,24.32,0,0,0,0.32,1.6,1.92
22Month,3.28,96.76,0.55,1.09,0,0,0,0.55,0,0,3.28,0.55,11.48,2.73,0.55,3.83,0,0,4.37,14.76,2.19,1.64,15.85,2.73,0.55,0,1.09,2.73,1.64,0.55,75.98,0.55,0,0,1.09,0,2.19
