stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,4.28,0,0,0,0,0,0,11.77,0,0,3.21,2.14,12.84,0,1.07,0,0
21Day,6.69,1.34,1.34,0,0,0,0,1.34,20.08,0,0,4.02,4.02,2.68,1.34,0,4.02,0
3Month,0,1.6,0.96,0,0.32,0.64,0.32,0,1.28,1.28,0.32,0,0,0,0,0,0,2.88
22Month,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
