stage,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage
24hpf,0,4.09,0,0,0
72hpf,1.07,0,0,0,0
21Day,0,0,0,1.34,1.34
22Month,0,0,1.64,0.55,0.55
