stage,Epithelial_cell,Granulocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,2.14,0,0,0
21Day,0,0,0,2.68,0,1.34,0
3Month,0,0,1.92,0,1.6,0,4.16
22Month,0.55,0.55,12.57,0.55,1.64,0,0
