stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,8.56,4.28,6.42,0,1.07,0,0,1.07,0,1.07,9.63,1.07,10.7,0,0,2.14,0,388.33,39.58,0,0,8.56,0,0,18.19,0,0,1.07,0,0,0
21Day,2.68,0,6.69,0,6.69,0,0,0,0,1.34,1.34,0,4.02,1.34,9.37,0,0,4.02,0,208.81,20.08,0,1.34,4.02,13.39,1.34,28.11,1.34,5.35,2.68,0,0,1.34
3Month,0,1.6,2.56,0.64,0,0.32,0,8.32,0,0,1.92,0.32,0.32,0.64,15.36,3.2,0,0.32,0.32,1.6,0.96,2.88,0.32,0,0.32,12.8,7.68,0,0,0.96,0.32,9.6,1.6
22Month,0,1.09,3.28,1.09,0,0,2.19,16.95,1.64,0,1.64,0,0,2.73,14.21,1.64,0.55,0.55,0,5.47,0.55,8.2,0,0.55,0,15.85,19.68,0.55,0,0.55,0,0,1.64
