stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,12.26,0,0,73.56,1646.82,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,100.56,13.91,0,0,0,0,0,0,0,0,0,0,69.54,0,3.21,0,0,68.47,184,0,5.35,0,0,0,2.14,2.14,0,0,0,0
21Day,0,0,0,10.71,48.19,6.69,0,0,0,0,0,0,0,2.68,0,0,16.06,0,8.03,0,1.34,18.74,92.36,0,2.68,6.69,0,0,4.02,0,1.34,0,0,0
3Month,0,0.32,0,4.8,5.76,0,0,0.64,0.32,0,0,4.48,1.28,0,1.28,0.32,5.44,0.96,1.92,0,0.32,1.28,0.64,0.64,0,0.32,0.32,1.6,0.64,0,0,0.64,0.32,1.28
22Month,0,0.55,1.09,4.92,9.84,0,0.55,1.64,1.09,1.09,0,30.61,0.55,1.64,1.64,0.55,3.83,0.55,3.28,0.55,1.64,0.55,1.09,5.47,0,0,0,4.37,1.09,0,0,0,0,1.09
