stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,1.07,1.07,1.07
21Day,1.34,0,1.34,0,0,0,0
22Month,0,0.55,0,1.09,0,0,0
