stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,6.42,26.74,1.07,0,0,0,0,1.07,3.21,0,0,3.21,0,0,0,0,0,0,0,0
21Day,4.02,0,0,32.12,0,5.35,0,0,0,0,2.68,0,1.34,0,5.35,0,1.34,10.71,73.62,9.37,0,0,2.68,0,4.02,1.34,0,0,6.69,4.02,0,0,2.68,0,0,0,8.03
3Month,0.96,6.08,0.96,107.82,0.64,0,1.6,2.88,0.32,16.32,50.87,0.32,35.83,45.11,9.92,16.96,3.52,22.4,277.4,19.52,4.16,0.32,7.68,3.84,1.92,0,3.2,1.28,0.64,1.92,0.32,1.92,0,0.32,4.16,3.2,21.12
22Month,1.09,11.48,2.19,33.89,0,0,0.55,1.64,0,7.65,66.69,16.4,103.32,40.45,9.84,7.11,2.19,12.03,173.84,39.91,0.55,0,2.73,0,0.55,1.09,1.64,1.64,0,1.09,0,1.09,4.37,0,1.64,0,9.84
