stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,16.35,8.17,0,0
72hpf,0,0,0,0,0,8.56,0,0,0
21Day,0,1.34,0,0,1.34,4.02,0,0,1.34
3Month,0,0,0,0.32,0,3.84,0,0.64,0
22Month,0.55,0,2.19,0,0,0,0,2.19,0
