stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,4.28,3.21,0,8.56,0,0,0,0,98.42,13.91,0,0,10.7,0,7.49,3.21,0,0,0,0,0
21Day,10.71,0,0,9.37,0,1.34,0,0,0,0,1.34,0,0,4.02,1.34,9.37,1.34,14.72,0,0,2.68,0,32.12,5.35,0,4.02,8.03,0,0,4.02,12.05,4.02,0,0,0
3Month,0.32,0,1.92,13.44,0.64,0,0,4.16,1.28,0,3.52,0.96,0.32,35.51,1.92,1.92,1.28,4.8,0.96,0,7.68,3.52,0.96,0,1.6,0.32,0.96,0.96,0.64,0,0,0.96,0.32,0.64,0.96
22Month,0.55,1.64,4.92,14.76,0.55,0,0.55,7.11,2.73,23.51,124.09,0.55,0,61.77,2.19,3.83,3.28,10.93,0.55,2.73,9.29,1.64,1.09,0.55,1.09,0.55,0.55,0,3.28,1.09,0,1.64,0,0,0
