stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,4.09,171.63,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,5.35,0,0,0,0,0,0,0,0,0,0,4.28,7.49,0,13.91,0,2.14,0,92,21.4,1.07,1.07,0,16.05,1.07,0,4.28,0,0,0,0,0
21Day,9.37,1.34,0,18.74,0,5.35,1.34,0,0,0,0,0,1.34,1.34,0,6.69,1.34,22.76,0,0,0,60.23,14.72,0,4.02,0,6.69,2.68,0,0,0,1.34,0,0,1.34
3Month,0,0,0,5.76,0.32,0,0,0,1.28,0,11.84,0.64,0.32,3.2,0.32,1.92,1.92,1.6,1.6,0.32,0.32,0.64,0,0.32,0,0,0,0,5.12,0,0,0,0.32,2.24,2.24
22Month,0,1.09,0.55,8.2,0,0,0,1.64,4.37,5.47,79.81,1.09,0.55,8.75,0.55,1.09,3.28,9.29,0,0.55,0,0.55,0,1.09,0.55,0.55,0.55,0.55,1.64,2.19,1.09,0,1.64,0,1.09
