stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,0,318.74,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,3.21,0,8.56,0,4.28,3.21,1.07,0,191.49,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0
3Month,0,1.28,0,0.32,0.32,2.24,0.32,0,0.32,0.96,0,0.32,0.64,0.32,0,0,0,41.91,0.32,0,0.32,0.32,0.32
22Month,0,0,0,0,0,3.28,0,0.55,0,0,1.09,0,0,0,0,0,0.55,2.73,0,0,0,0,0
