stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,1.07,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,0,1.6,0,0.32,0.96,0.32,0.32,0.32,0.32,0,0,0,0.64,6.08,0.32,39.99,0.32
22Month,0,0,0,0,2.73,0,0,0,0,0,0.55,0,0,0,0,0,0
