stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,4.09,0,0,73.56,138.94,16.35,0,0,0,0,0,0,0,0
72hpf,8.56,5.35,1.07,17.12,0,0,0,0,0,0,0,0,7.49,14.98,1.07,7.49,0,0,972.44,191.49,0,0,21.4,0,17.12,0,0,0,0
21Day,0,6.69,2.68,1.34,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,0,70.94,17.4,4.02,1.34,1.34,1.34,5.35,1.34,1.34,0,0
3Month,0,0.96,0,0,0,0.32,0.64,0,3.2,0.64,0.32,0.96,0,0,0.32,0.96,0,0.32,0,0.32,0.96,0,0,3.84,0,0,0,0.64,0.64
22Month,0,0.55,0,0,0.55,0,0.55,1.09,16.95,0,0.55,0.55,0,0,2.19,1.64,0.55,0,0,0,0.55,0,0,4.37,0,0,0,0,0.55
