stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,1.07,1.07,1.07,2.14,0,11.77,5.35,0,3.21,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,1.92,0,0.32,0,0.64,0.32,0.64,0.64,0,0,0,0.32,0,0,0,0.32,0,0,0.32,1.6
22Month,0,0,0,0,0.55,0,0,2.73,0,0,0,1.64,0,0,0,0,0,0,0.55,0,0
