stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0.64,0,0.32,0.32,0.32,0,3.84,0.64,0,0.96,0,0.64,0.32,0.32,0.32,0.32,0,0,0,0,0,2.56,0,0,0.32,0.32,0
22Month,2.19,1.09,1.64,0,0.55,0,1.64,2.73,38.81,1.64,1.09,4.37,0,0,1.64,6.01,0,0.55,0,0,0.55,0.55,12.57,10.93,1.09,0.55,0,0,0.55
