stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell
24hpf,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,1.07
21Day,0,0,0,1.34,0,0
3Month,0.96,0,0,0,0,0
22Month,0,0.55,0,0.55,0.55,0
