stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,147.11,204.32,0,1520.14,4.09,8.17,0,145194.04,0,0,8.17,114.42,375.95,306.48,764.16,4.09,4.09,629.31,7310.58,4.09,73.56,0,0,4.09,16.35,0
72hpf,0,1.07,0,575.55,0,6.42,1.07,31.02,0,0,0,9.63,7.49,2.14,9.63,0,0,55.63,18.19,0,8.56,0,0,3.21,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0,0,4.8,0.96,0,0,0.96,0,0.64,4.48,0,0,0,0,9.28,0,0.96,0,0,0,0,0.96,1.28,0,0,0.64
