stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,1.34,0,0,4.02,0,74.96,0,5.35,1.34,0,1.34,5.35,9.37,1.34,2.68,10.71,2.68,0,4.02,0,1.34
3Month,0,0,0.64,2.88,0,2.24,0.64,0.96,0,124.78,0.32,0,1.6,0.32,1.28,1.28,1.28,0,0,0,0,0.32,0.96,0.64,2.24
22Month,0,0.55,0,0,0,0,0,0,1.09,49.2,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
