stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,0,0.32,1.92,0.32,0.64,0.32,0.96,0.32,0.32,0,0.32,0.32,0.32,1.28,7.04
22Month,1.09,0,0,3.83,0,0,0.55,0,0.55,1.64,0.55,1.09,0,0,0,0
